iter	RMSE
356	414.0197254
357	414.0160615
358	414.0131818
359	413.9973219
360	413.965779
361	413.9591036
362	413.9284119
363	413.911356
364	413.8798472
365	413.8752486
366	413.8706671
367	413.8659673
368	413.8591062
369	413.8548359
370	413.8481703
371	413.8435641
372	413.8405577
373	413.8391977
374	413.8359478
375	413.8300549
376	413.8245723
377	413.820252
378	413.8157618
379	413.8125199
380	413.8074888
381	413.7800307
382	413.7744898
383	413.76776
384	413.7578004
385	413.7537384
386	413.7251491
387	413.6995465
388	413.6859782
389	413.6733403
390	413.6606845
391	413.6364684
392	413.6311348
393	413.6285196
394	413.6221361
395	413.617035
396	413.5934588
397	413.5899182
398	413.5852017
399	413.5842191
400	413.5813364
401	413.5724838
402	413.5701524
403	413.5618529
404	413.555762
405	413.5335148
406	413.531283
407	413.5291446
408	413.5270947
409	413.5246062
410	413.5227081
411	413.5208869
412	413.5191391
413	413.5149157
414	413.5133232
415	413.5116947
416	413.5079134
417	413.5064002
418	413.4890479
419	413.4867273
420	413.4853104
421	413.4833531
422	413.4819984
423	413.4660247
424	413.4563483
425	413.4533819
426	413.4467332
427	413.4449307
428	413.440521
429	413.4378579
430	413.4344435
431	413.4314381
432	413.4274745
433	413.4214246
434	413.4147554
435	413.4046296
436	413.3844741
437	413.370637
438	413.3674613
439	413.3571406
440	413.3505919
441	413.3472792
442	413.3393227
443	413.3203316
444	413.3178278
445	413.3149148
446	413.3086205
447	413.3041556
448	413.3022754
449	413.2843221
450	413.2812526
451	413.2629067
452	413.2508925
453	413.2444098
454	413.2427717
455	413.2252939
456	413.2226594
457	413.2184441
458	413.2154161
459	413.2144257
460	413.2132647
461	413.2065254
462	413.2052835
463	413.2037714
464	413.1935371
465	413.1897997
466	413.1870254
467	413.1858955
468	413.1759377
469	413.1667684
470	413.1582926
471	413.1527483
472	413.1516496
473	413.1508224
474	413.1347741
475	413.1287659
476	413.1244464
477	413.1221962
478	413.1211657
479	413.1201343
480	413.104622
481	413.1005846
482	413.0856328
483	413.0711595
484	413.0670576
485	413.0640125
486	413.0623956
487	413.0544821
488	413.0498625
489	413.0483209
490	413.0459126
491	413.0435886
492	413.0392043
493	413.0340304
494	413.0306428
495	413.0262958
496	413.0206711
497	413.0194674
498	413.0184983
499	413.0177784
500	413.0149598
501	413.0128474
502	413.0097789
503	413.0060736
504	413.0047748
505	413.0016704
506	413.0004217
507	412.9874047
508	412.9776821
509	412.9738197
510	412.970147
511	412.9689214
512	412.9666388
513	412.9604864
514	412.9587007
515	412.9463024
516	412.9445252
517	412.9420294
518	412.9289343
519	412.9251261
520	412.9233043
521	412.9177928
522	412.915381
523	412.9120709
524	412.9085277
525	412.8969803
526	412.8960664
527	412.8934063
528	412.88118295529	412.87663465530	412.874003
531	412.8709719
532	412.8592483
533	412.8484894
534	412.8461758
535	412.845425
536	412.8437974
537	412.8429609
538	412.8421603
539	412.8317522
540	412.827956
541	412.8239918
542	412.8225359
543	412.8125227
544	412.8119815
545	412.8095166
546	412.7966834
547	412.7960082
548	412.790009
549	412.7885594
550	412.7878884
551	412.7833276
552	412.7799128
553	412.77539
554	412.7673412
555	412.7638325
556	412.7634052
557	412.7592524
558	412.7496981
559	412.747534
560	412.7455546
561	412.7426419
562	412.741341
563	412.7406607
564	412.732998
565	412.7316431
566	412.7304744
567	412.7222014
568	412.714102
569	412.7100373
570	412.707367
571	412.7024239
572	412.7007198
573	412.6926045
574	412.6909417
575	412.6901559
576	412.6890816
577	412.687883
578	412.6841216
579	412.6826747
580	412.681721
581	412.680713
582	412.6726246
583	412.6709617
584	412.6699618
585	412.6695921
586	412.6686456
587	412.6678603
588	412.6669637
589	412.6609158
590	412.6596303
591	412.6581869
592	412.6573382
593	412.6560899
594	412.6556294
595	412.6520917
596	412.6500366
597	412.6426418
598	412.6421743
599	412.6410823
600	412.6398015
601	412.6372417
602	412.6329596
603	412.6251412
604	412.6217826
605	412.6214693
606	412.6161699
607	412.6147509
608	412.6134606
609	412.6130657
610	412.6119718
611	412.610221
612	412.6075518
613	412.6043873
614	412.6035049
615	412.6030968
616	412.6017562
617	412.5979007
618	412.594338
619	412.5900434
620	412.589131
621	412.5883747
622	412.5810962
623	412.5776201
624	412.5772101
625	412.5764247
626	412.5731853
627	412.570733
628	412.5687602
629	412.5662365
630	412.5636596
631	412.5616913
632	412.5602631
633	412.5578485
634	412.5567401
635	412.5547596
636	412.5480502
637	412.5476142
638	412.5435315
639	412.5421063
640	412.5354075
641	412.5321041
642	412.5293674
643	412.5279439
644	412.5272775
645	412.5263323
646	412.5249902
647	412.5231817
648	412.5168279
649	412.5155089
650	412.5121505
651	412.5092495
652	412.5077492
653	412.5073558
654	412.5015781
655	412.5003452
656	412.4978227
657	412.4956413
658	412.4896615
659	412.4881524
660	412.4852793
661	412.4848451
662	412.4793761
663	412.4776299
664	412.4760083
665	412.474873
666	412.4740062
667	412.4721368
668	412.4709149
669	412.4687984
670	412.4670361
671	412.4646555
672	412.4671	798673	412.4538478
674	412.4518105
675	412.4502231
676	412.4493002
677	412.4441446
678	412.4439014
679	412.439012
680	412.4679	798681	412.4680	798682	412.4681	798683	412.4682	798684	412.4683	798685	412.4684	798686	412.4685	798687	412.4686	798688	412.4687	798689	412.4688	798690	412.4689	798691	412.4690	798692	412.4247669
693	412692	798.2694	412693	798.2695	412694	798.2696	412.4187364
697	412.4174562
698	412.4163912
699	412.4158807
700	412.4155509
701	412.4146367
702	412.4125967
703	412.4114796
704	412.41102
705	412.4075242
706	412.4056438
707	412.403995
708	412.4037135
709	412.4012076
710	412.3993134
711	412.3985537
712	412.3977339
713	412.3911662
714	412.3904378
715	412.3901164
716	412.3881197
717	412.3863716
718	412.3856788
719	412.3833867
720	412.3823212
721	412.3817418
722	412.3797813
723	412.3777177
724	412.3765012
725	412.3749222
726	412.3747347
727	412.3744112
728	412.3738595
729	412.3723825
730	412.3710258
731	412.3705101
732	412.3699947
733	412.3696149
734	412.3634942
735	412.3625805
736	412.3609478
737	412.3590799
738	412.3562032
739	412.3550204
740	412.3536284
741	412.3493827
742	412.3466477
743	412.345135
744	412.3411039
745	412.3394475
746	412.3390292
747	412.3380503
748	412.332952
749	412.3324132
750	412.3320696
751	412.3314611
752	412.3277874
753	412.3262256
754	412.325841
755	412.3241746
756	412.3229024
757	412.3214539
758	412.3177702
759	412.3167485
760	412.3163814
761	412.3131013
762	412.3097373
763	412.3086971
764	412.3072904
765	412.3070766
766	412.3068207
767	412.3059574
768	412.3035211
769	412.3020982
770	412.3012114
771	412.3006467
772	412.2998994
773	412.2991469
774	412.2985675
775	412.2977864
776	412.2960884
777	412.293687
778	412.2924512
779	412.2892006
780	412.2881947
781	412.2865654
782	412.2854841
783	412.2838398
784	412.2834131
785	412.2820964
786	412.280661
787	412.2779092
788	412.2767311
789	412.2759761
790	412.2728178
791	412.2713253
792	412.2707754
793	412.267681
794	412.2659959
795	412.2645248
796	412.2628081
797	412.2612495
798	412.2599571
799	412.2589185
800	412.2581779
801	412.2575924
802	412.2555549
803	412.2544415
804	412.2526916
805	412.2510077
806	412.2507304
807	412.250537
808	412.2486878
809	412.2482508
810	412.2477768
811	412.2458335
812	412.2454718
813	412.2446025
814	412.2435984
815	412.2430061
816	412.2426101
817	412.2424301
818	412.2420204
819	412.2418563
820	412.2416335
821	412.2388753
822	412.237928
823	412.2368202
824	412.2358467
825	412.2347343
826	412.2344951
827	412.23305
828	412.2319876
829	412.2318237
830	412.2316075
831	412.2301006
832	412.228792
833	412.2279451
834	412.2275888
835	412.2268007
836	412.2256742
837	412.2254591
838	412.2253079
839	412.224506
840	412.2241455
841	412.2228887
842	412.2224953
843	412.222204
844	412.2218052
845	412.2214713
846	412.2213201
847	412.2196502
848	412.2190232
849	412.2187762
850	412.2180352
851	412.2177055
852	412.2169072
853	412.215184
854	412.2149341
855	412.2122925
856	412.2096437
857	412.208785
858	412.2080616
859	412.2067707
860	412.2066409
861	412.2058263
862	412.205526
863	412.204437
864	412.2034809
865	412.2032922
866	412.20239
867	412.199976
868	412.1994684
869	412.1992111
870	412.199074
871	412.1975811
872	412.1972376
873	412.1948158
874	412.1935737
875	412.1933161
876	412.1924916
877	412.1919529
878	412.191243
879	412.1902342
880	412.1888645
881	412.186498
882	412.1863824
883	412.1861021
884	412.1852051
885	412.1837182
886	412.1834793
887	412.1830984
888	412.1824711
889	412.1821733
890	412.1818584
891	412.181222
892	412.1803203
893	412.1794423
894	412.1791637
895	412.1779294
896	412.1772631
897	412.1764784
898	412.1753415
899	412.1731751
900	412.1712557
901	412.1710305
902	412.1705176
903	412.1696127
904	412.1682637
905	412.1670157
906	412.1649319
907	412.1640499
908	412.1622093
909	412.1604609
910	412.1594073
911	412.1591885
912	412.1590752
913	412.1578058
914	412.1570594
915	412.1564959
916	412.1553325
917	412.1545513
918	412.1535894
919	412.1528979
920	412.1518748
921	412.1512188
922	412.1493127
923	412.1490926
924	412.1479114
925	412.1467968
926	412.1449775
927	412.1441007
928	412.1431447
929	412.1429858
930	412.142293
931	412.1417832
932	412.1408672
933	412.1392465
934	412.1385485
935	412.1382764
936	412.1372495
937	412.1360759
938	412.135617
939	412.1354249
940	412.1347946
941	412.1340373
942	412.1335611
943	412.1330853
944	412.1326252
945	412.1323455
946	412.1320636
947	412.1315225
948	412.1308713
949	412.1302394
950	412.1299824
951	412.1292892
952	412.1290236
953	412.1280948
954	412.1266129
955	412.1250186
956	412.1238066
957	412.1236195
958	412.1228631
959	412.1221361
960	412.1213351
961	412.1209928
962	412.1205448
963	412.1203379
964	412.1197952
965	412.1191456
966	412.1189066
967	412.1184256
968	412.118084
969	412.1165591
970	412.1161683
971	412.1159663
972	412.1157299
973	412.115241
974	412.1149512
975	412.1144072
976	412.1137331
977	412.1124754
978	412.1114999
979	412.1110187
980	412.1106079
981	412.1096492
982	412.10941
983	412.1086761
984	412.1082498
985	412.107663
986	412.1072584
987	412.1063419
988	412.1057988
989	412.105215
990	412.1046381
991	412.1033771
992	412.1032049
993	412.1021586
994	412.1018812
995	412.1006367
996	412.1000265
997	412.099226
998	412.0989731
999	412.0976819

998	798.0980027
999	798.0978857
