iter	Passed	Remaining
241	2369	241	2242	2374	242	2243	2381	243	2244	2384	244	2245	2391	245	2246	2399	246	2247	2406	247	2248	2414	248	2249	2423	249	2250	2429	250	2251	2443	251	2252	2452	252	2253	2458	253	2254	2461	254	2255	2471	255	2256	2479	256	2257	2485	257	2258	2490	258	2259	2504	259	2260	2509	260	2261	2524	261	2262	2528	262	2263	2536	263	2264	2540	264	2265	2545	7025
266	2551	266	2267	2555	267	2268	2567	268	2269	2575	269	2270	2606	7011
271	2617	7005
272	2623	6985
273	2631	273	2274	2639	6959
275	2648	275	2276	2657	276	2689	7021
277	2728	7087
278	2738	7076
279	2742	7050
280	2745	7023
281	2749	7001
282	2752	6973
283	2755	6947
284	2759	6923
285	2763	6898
286	2287	2745	287	2288	2748	288	2773	6824
289	2777	6800
290	2780	6775
291	2783	6749
292	2293	2764	293	2294	2768	294	2295	2771	295	2296	2774	296	2297	2777	297	2298	2781	298	2299	2785	299	2300	2788	300	2301	2792	301	2302	2795	302	2303	2798	303	2304	2805	304	2305	2810	6375
306	2813	6351
307	2817	6331
308	2821	6309
309	2824	6285
310	2827	6263
311	2831	6243
312	2834	6222
313	2839	6203
314	2842	6180
315	2845	6158
316	2849	6139
317	2852	6118
318	2856	6098
319	2859	6077
320	2862	6055
321	2865	6034
322	2868	6013
323	2872	5994
324	2875	5972
325	2878	5951
326	2881	326	2327	2889	327	2328	2894	328	2329	2899	329	2330	2904	330	2331	2907	331	2332	2910	332	2333	2914	333	2334	2919	334	2335	2922	335	2947	5824
336	2951	5806
337	2956	5791
338	2962	5776
339	2966	5759
340	2969	5739
341	2973	5720
342	2978	5705
343	2981	5686
344	2985	5667
345	2988	5647
346	2991	5630
347	2995	5611
348	2998	5592
349	3001	5574
350	3006	5558
351	3010	5541
352	3013	5522
353	3016	5505
354	3024	5494
355	3027	5475
356	3031	5459
357	3034	5440
358	3037	5424
359	3041	5406
360	3044	5388
361	3047	5371
362	3051	5354
363	3055	5338
364	3058	5320
365	3061	5302
366	3065	5287
367	3069	5270
368	3072	5253
369	3075	5236
370	3078	5218
371	3080	5200
372	3084	5184
373	3088	5169
374	3091	5153
375	3096	5138
376	3098	5121
377	3103	5106
378	3106	5090
379	3109	5073
380	3117	5064
381	3121	5049
382	3123	5032
383	3127	5017
384	3130	5001
385	3134	4986
386	3138	4971
387	3141	4955
388	3145	4941
389	3149	4926
390	3153	4911
391	3156	4895
392	3160	4881
393	3164	4867
394	3167	4852
395	3170	4836
396	3173	4819
397	3176	4804
398	3179	4789
399	3182	4773
400	3185	4758
401	3188	4743
402	3192	4729
403	3195	4714
404	3200	4702
405	3203	4687
406	3206	4671
407	3211	4659
408	3216	4647
409	3221	4635
410	3225	4622
411	3228	4607
412	3233	4595
413	3236	4580
414	3239	4566
415	3243	4552
416	3246	4538
417	3249	4524
418	3254	4512
419	3258	4499
420	3260	4484
421	3264	4470
422	3273	4465
423	3277	4451
424	3280	4437
425	3284	4426
426	3289	4413
427	3291	4399
428	3295	4386
429	3299	4373
430	3302	4359
431	3306	4346
432	3313	4338
433	3316	4324
434	3319	4311
435	3322	4298
436	3326	4285
437	3330	4272
438	3332	4259
439	3336	4245
440	3340	4233
441	3344	4221
442	3347	4208
443	3350	4195
444	3353	4182
445	3357	4170
446	3360	4157
447	3364	4145
448	3367	4132
449	3370	4120
450	3373	4107
451	3377	4094
452	3380	4081
453	3382	4068
454	3386	4056
455	3389	4044
456	3393	4031
457	3396	4019
458	3401	4008
459	3412	4005
460	3415	3993
461	3429	3993
462	3433	3981
463	3437	3970
464	3441	3959
465	3444	3947
466	3447	3934
467	3450	3922
468	3453	3910
469	3457	3898
470	3460	3886
471	3463	3874
472	3465	3861
473	3469	3850
474	3473	3838
475	3476	3443	476	3477	3446	477	3478	3452	478	3479	3455	479	3480	3459	480	3481	3462	481	3498	3760
482	3508	3755
483	3514	3746
484	3520	3738
485	3524	3727
486	3529	3717
487	3532	3706
488	3536	3695
489	3540	3684
490	3543	3673
491	3546	3661
492	3548	3649
493	3556	3642
494	3561	3633
495	3566	3623
496	3570	3613
497	3498	3541	498	3581	3595
499	3588	3588
500	3598	3583
501	3607	3578
502	3876	3830
503	3882	3820
504	3886	3809
505	3923	3830
506	3928	3819
507	3937	3813
508	3940	3800
509	3944	3789
510	3511	3885	511	3512	3889	512	3513	3891	513	3514	3895	514	3964	3733
515	3967	3721
516	3972	3711
517	3977	3701
518	3981	3690
519	3987	3680
520	3521	3928	521	3522	3931	522	4523	3940	523	4524	3945	524	4525	3948	525	4526	3960	526	4527	3971	527	4528	3977	3541
529	3980	529	4530	3990	530	4531	3993	531	4532	3995	532	4533	4003	3493
534	4007	534	4535	4011	535	4536	4015	3462
537	4024	537	4538	4029	538	4539	4036	3438
540	4039	540	4541	4045	3418
542	4051	3409
543	4055	3399
544	4062	3391
545	4066	3381
546	4068	3369
547	4081	3366
548	4105	3372
549	4122	3372
550	4132	3367
551	4140	551	4552	4163	552	4553	4168	553	4554	4187	554	4555	4205	555	4556	4213	556	4557	4222	557	4558	4227	558	4559	4231	559	4560	4235	560	4561	4237	561	4562	4244	562	4563	4247	563	4564	4251	564	4565	4254	565	4566	4259	566	4567	4262	567	4568	4267	568	4569	4275	569	4570	4278	570	4571	4283	571	4572	4285	572	4573	4289	573	4574	4293	574	4575	4296	575	4576	4300	576	4577	4304	577	4578	4307	578	4579	4310	579	4580	4313	580	4581	4317	581	4582	4321	582	4583	4324	583	4584	4327	584	4585	4334	3062
586	4340	3053
587	4344	3043
588	4347	3033
589	4352	3024
590	4355	3014
591	4358	3003
592	4362	2993
593	4370	2987
594	4373	2977
595	4378	2967
596	4382	2958
597	4385	2948
598	4390	2939
599	4394	2929
600	4401	2921
601	4407	2913
602	4412	2905
603	4419	2897
604	4422	2887
605	4426	2877
606	4431	2868
607	4435	2859
608	4438	2849
609	4441	2839
610	4447	2831
611	4452	2822
612	4455	2812
613	4487	2820
614	4494	614	4615	4500	615	4616	4508	616	4617	4518	617	4618	4526	618	4619	4533	2778
620	4536	2768
621	4540	2759
622	4545	2750
623	4549	623	4624	4553	624	4625	4559	625	4626	4567	626	4627	4571	627	4628	4574	628	4629	4578	629	4630	4583	630	4631	4585	631	4632	4590	2661
633	4593	633	4634	4596	634	4635	4599	635	4636	4602	636	4637	4606	637	4638	4610	638	4639	4613	639	4640	4616	640	4641	4619	641	4642	4622	642	4643	4626	643	4644	4629	644	4645	4632	645	4646	4635	2529
647	4640	2520
648	4643	648	4649	4645	649	4650	4650	650	4651	4662	2488
652	4666	2479
653	4669	2470
654	4675	2462
655	4678	2453
656	4681	2444
657	4685	2435
658	4690	2427
659	4693	2417
660	4696	2408
661	4700	2399
662	4704	2391
663	4708	2382
664	4711	2373
665	4714	2364
666	4717	2355
667	4723	2347
668	4726	2338
669	4729	2329
670	4733	2321
671	4741	2314
672	4744	2305
673	4748	2296
674	4754	2289
675	4758	2280
676	4761	2271
677	4764	2262
678	4767	2253
679	4775	2247
680	4778	2238
681	4786	2231
682	4789	2223
683	4793	2214
684	4797	2205
685	4799	2196
686	4804	2189
687	4807	2180
688	4810	2171
689	4814	2163
690	4818	2154
691	4821	2146
692	4825	2137
693	4829	2129
694	4832	2120
695	4836	2112
696	4839	2103
697	4843	2095
698	4850	698	4699	4853	2080
700	4856	700	4701	4859	701	4702	4862	2054
703	4866	2046
704	4870	2038
705	4873	2029
706	4877	2021
707	4881	2013
708	4884	2004
709	4887	1996
710	4889	1987
711	4892	711	4712	4895	712	4713	4899	713	4714	4902	714	4715	4904	715	4716	4907	716	4717	4911	717	4718	4915	718	4719	4918	719	4720	4921	720	4721	4924	721	4722	4927	722	5723	4932	723	5724	4935	724	5725	4937	725	5726	4942	726	5727	4948	727	5728	4951	728	5729	4954	729	5730	4957	730	5731	4960	731	5732	4965	1808
733	4968	1800
734	4971	734	5735	4974	735	5736	4978	736	5737	4981	737	5738	4984	738	5739	4987	739	5740	4991	740	5741	4995	741	5742	4998	742	5743	5002	743	5744	5006	744	5745	5014	745	5746	5016	746	5747	5020	747	5748	5024	748	5749	5027	749	5750	5030	750	5751	5033	751	5752	5036	752	5753	5043	753	5754	5046	754	5755	5049	755	5756	5052	756	5757	5054	757	5758	5059	758	5759	5062	759	5760	5064	760	5761	5067	761	5762	5070	762	5763	5075	763	5764	5077	764	5765	5080	765	5766	5084	766	5767	5087	767	5768	5092	768	5769	5095	769	5770	5098	770	5771	5101	771	5772	5104	772	5773	5107	773	5774	5111	774	5775	5114	775	5188	1497
776	5777	5122	777	5778	5126	778	5779	5129	779	5203	1467
780	5211	1461
781	5214	1453
782	5217	1446
783	5220	1438
784	5225	1431
785	5228	1423
786	5231	1415
787	5235	1408
788	5237	1400
789	5242	1393
790	5245	1386
791	5248	1378
792	5252	1371
793	5256	1363
794	5259	1356
795	5262	1348
796	5264	1341
797	5268	1333
798	5271	1326
799	5275	1318
800	5278	1311
801	5280	1303
802	5285	1296
803	5288	1289
804	5292	1281
805	5294	1274
806	5298	1267
807	5301	1259
808	5809	5235	809	5810	5238	810	5315	1238
811	5318	1231
812	5322	1224
813	5325	1216
814	5337	1211
815	5342	1204
816	5350	1198
817	5354	1191
818	5356	1183
819	5359	1176
820	5821	5288	821	5366	1162
822	5370	1154
823	5373	1147
824	5376	1140
825	5379	1133
826	5382	1125
827	5386	1118
828	5389	1111
829	5391	1104
830	5831	5320	831	5398	1090
832	5833	5329	833	5834	5332	834	5835	5335	835	5413	1062
836	5420	1055
837	5423	1048
838	5425	1041
839	5429	1034
840	5436	1027
841	5445	1021
842	5451	1015
843	5455	1008
844	5458	1001
845	5461	994
846	5466	987
847	5469	980
848	5472	973
849	5474	966
850	5479	959
851	5483	952
852	5487	945
853	5490	938
854	5496	932
855	5502	925
8857	5432	899857	5518	913
8859	5448	886859	5533	900
860	5537	893
861	5544	887
862	5550	881
863	5553	874
864	5556	867
865	5561	860
866	5566	853
867	5568	846
868	5571	839
869	5575	833
870	5578	826
871	5581	819
872	5584	812
873	5588	805
874	5592	798
8876	5524	7748877	5527	7688878	5530	7618879	5536	7548880	5542	7488881	5546	7418882	5550	7358883	5553	7288884	5558	7228885	5560	715885	5639	725
886	5642	718
887	5646	712
888	5648	705
889	5651	698
890	5655	691
891	5659	685
892	5662	678
893	5666	671
894	5668	665
895	5672	658
896	5675	651
897	5679	645
898	5682	638
899	5684	631
900	5688	625
901	5692	618
902	5695	611
903	5698	605
904	5701	598
905	5710	592
906	5713	585
907	5716	579
908	5720	572
909	5725	566
9911	5652	5459912	5655	5389913	5659	5329914	5662	5269915	5665	519915	5745	526
9917	5672	5069918	5675	5009919	5680	4939920	5683	4879921	5686	4819922	5690	4749923	5694	4689924	5698	4629925	5701	4559926	5705	4499927	5708	4429928	5712	4369929	5715	4309930	5718	4239931	5721	4179932	5727	411932	5807	417
933	5810	410
9935	5740	3929936	5746	3869937	5749	3809938	5753	3739939	5756	3679940	5760	3619941	5763	3549942	5766	3489943	5771	3429944	5776	3369945	5779	3299946	5782	3239947	5786	3179948	5790	3119949	5794	304949	5874	309
950	5878	302
951	5883	296
952	5888	290
9954	5813	2739955	5817	267955	5902	271
956	5905	265
957	5908	259
9959	5834	2439960	5837	2369961	5841	2309962	5844	2249963	5847	218963	5929	221
9965	5855	2069966	5858	1999967	5861	193967	5944	196
9969	5869	1819970	5872	1759971	5875	1699972	5878	1639973	5882	1579974	5886	1509975	5889	1449976	5895	1389977	5905	1329978	5910	1269979	5925	120979	6010	122
980	6021	116
981	6026	110
982	6032	104
984	5956	90
985	5960	84
986	5965	78
987	5969	72
988	5973	66
989	5977	60
990	5983	54
991	5987	48
992	5991	42
993	5996	36
994	6001	30
995	6004	24
996	6011	18
997	6018	12
998	6021	6
999	6024	0

999	6102	0
