host_id_x,neighbourhood,latitude_x,longitude_x,room_type_x,price_x,number_of_reviews_x,reviews_per_month_x,availability_365_x,accommodates,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,review_scores_rating,instant_bookable
674843.0,I Centro Storico,41.89122,12.50543,Private room,128.0,92.0,0.67,319.0,2.0,within an hour,100.0,98.0,0.0,4.42,1.0
161114.0,II Parioli/Nomentano,41.92239,12.487604,Entire home/apt,189.0,52.0,0.33,351.0,3.0,within a few hours,100.0,67.0,1.0,4.86,0.0
679555.0,V Prenestino/Centocelle,41.88142,12.54422,Private room,100.0,26.0,0.31,0.0,2.0,within an hour,100.0,100.0,0.0,4.77,1.0
192075.0,XV Cassia/Flaminia,42.05745,12.48699,Entire home/apt,95.0,16.0,0.11,357.0,4.0,within an hour,100.0,80.0,0.0,4.53,0.0
685600.0,I Centro Storico,41.88739,12.4969,Entire home/apt,90.0,185.0,1.27,245.0,2.0,within an hour,90.0,100.0,0.0,4.73,0.0
674843.0,I Centro Storico,41.89319,12.50611,Private room,134.0,36.0,0.32,340.0,3.0,within an hour,100.0,98.0,0.0,4.38,1.0
195040.0,I Centro Storico,41.89431,12.47246,Entire home/apt,99.0,248.0,1.59,0.0,6.0,within an hour,80.0,100.0,0.0,4.44,1.0
674843.0,I Centro Storico,41.89128,12.50517,Private room,152.0,85.0,0.62,341.0,3.0,within an hour,100.0,98.0,0.0,4.62,1.0
674843.0,I Centro Storico,41.8919,12.5047,Private room,109.0,134.0,0.9,322.0,1.0,within an hour,100.0,98.0,0.0,4.47,1.0
205102.0,VIII Appia Antica,41.85238,12.47241,Private room,100.0,3.0,0.05,333.0,3.0,within a few hours,100.0,18.0,0.0,4.67,0.0
712288.0,I Centro Storico,41.90064,12.48435,Entire home/apt,99.0,243.0,1.66,270.0,2.0,within an hour,100.0,100.0,0.0,4.49,1.0
628404.0,I Centro Storico,41.88795,12.50326,Private room,191.0,6.0,0.07,290.0,4.0,1.2,70.0,100.0,0.0,4.67,1.0
628404.0,I Centro Storico,41.88647,12.50302,Private room,133.0,4.0,0.03,279.0,2.0,1.2,70.0,100.0,0.0,4.0,1.0
205102.0,VIII Appia Antica,41.85248,12.47427,Private room,100.0,9.0,0.07,357.0,3.0,within a few hours,100.0,18.0,0.0,4.67,0.0
147227.0,V Prenestino/Centocelle,41.887333,12.532795,Entire home/apt,76.0,227.0,1.44,121.0,4.0,within an hour,100.0,100.0,1.0,4.8,0.0
1249650.0,XII Monte Verde,41.87202,12.44024,Entire home/apt,120.0,8.0,0.05,361.0,2.0,a few days or more,0.0,0.0,0.0,4.4,0.0
224479.0,I Centro Storico,41.89738,12.476,Entire home/apt,307.0,72.0,0.46,186.0,6.0,within an hour,80.0,83.0,0.0,4.68,0.0
